state,year,population
WY,2013,448140
AK,2014,548900
AL,2014,3985360
AR,2014,2322720
AZ,2014,5079940
CA,2014,29755140
CO,2014,4216660
CT,2014,2991240
DC,2014,531120
DE,2014,771760
FL,2014,16884160
GA,2014,8004980
HI,2014,1075160
IA,2014,2506600
ID,2014,1258000
IL,2014,10345780
IN,2014,5294500
KS,2014,2267920
KY,2014,3569540
LA,2014,3727800
MA,2014,5515180
MD,2014,4911200
ME,2014,1147040
MI,2014,8368560
MN,2014,4390460
MO,2014,4955020
MS,2014,2409240
MT,2014,831660
NC,2014,7867840
ND,2014,575880
NE,2014,1456880
NH,2014,1144120
NJ,2014,7328660
NM,2014,1627000
NV,2014,2273240
NY,2014,15241620
OH,2014,9827900
OK,2014,3090660
OR,2014,3286800
PA,2014,10732660
PR,2014,2739520
RI,2014,867260
SC,2014,3969780
SD,2014,664040
TN,2014,5348180
TX,2014,20114200
UT,2014,2110580
VA,2014,6818000
VT,2014,524340
WA,2014,5800160
WI,2014,4661420
WV,2014,1570260
WY,2014,454000
AK,2015,552420
AL,2015,4044500
AR,2015,2347720
AZ,2015,5183100
CA,2015,30273560
CO,2015,4302820
CT,2015,3008180
DC,2015,541600
DE,2015,781940
FL,2015,17336360
GA,2015,8165860
HI,2015,1082720
IA,2015,2528020
ID,2015,1282560
IL,2015,10458900
IN,2015,5355800
KS,2015,2283360
KY,2015,3602960
LA,2015,3768000
MA,2015,5536660
MD,2015,4969400
ME,2015,1154660
MI,2015,8461060
MN,2015,4434960
MO,2015,4997780
MS,2015,2416860
MT,2015,843000
NC,2015,8017920
ND,2015,587940
NE,2015,1469480
NH,2015,1153100
NJ,2015,7404540
NM,2015,1646320
NV,2015,2311460
NY,2015,15390900
OH,2015,9870960
OK,2015,3124020
OR,2015,3344900
PA,2015,10801200
PR,2015,2714580
RI,2015,875040
SC,2015,4043740
SD,2015,674560
TN,2015,5432140
TX,2015,20623760
UT,2015,2159080
VA,2015,6899380
VT,2015,527720
WA,2015,5912960
WI,2015,4702400
WV,2015,1569560
WY,2015,459440
AK,2016,554580
AL,2016,4123100
AR,2016,2388520
AZ,2016,5309640
CA,2016,30933740
CO,2016,4396980
CT,2016,3043040
DC,2016,553760
DE,2016,795020
FL,2016,17787580
GA,2016,8363800
HI,2016,1095820
IA,2016,2554700
ID,2016,1316800
IL,2016,10517100
IN,2016,5450560
KS,2016,2322540
KY,2016,3684500
LA,2016,3827680
MA,2016,5631420
MD,2016,5046020
ME,2016,1168800
MI,2016,8437240
MN,2016,4490560
MO,2016,5069180
MS,2016,2434820
MT,2016,858980
NC,2016,8213660
ND,2016,596300
NE,2016,1492460
NH,2016,1168220
NJ,2016,7535600
NM,2016,1666360
NV,2016,2369760
NY,2016,15592680
OH,2016,9966480
OK,2016,3170860
OR,2016,3432220
PA,2016,10923600
PR,2016,2679560
RI,2016,885540
SC,2016,4129280
SD,2016,682800
TN,2016,5560740
TX,2016,21186820
UT,2016,2212620
VA,2016,6992600
VT,2016,533760
WA,2016,6055140
WI,2016,4757020
WV,2016,1580440
WY,2016,463440
AK,2017,549520
AL,2017,4124980
AR,2017,2385160
AZ,2017,5378240
CA,2017,31228960
CO,2017,4443240
CT,2017,3049080
DC,2017,551420
DE,2017,799020
FL,2017,17998500
GA,2017,8419700
HI,2017,1103340
IA,2017,2575740
ID,2017,1346860
IL,2017,10526580
IN,2017,5454880
KS,2017,2321580
KY,2017,3675160
LA,2017,3826080
MA,2017,5675700
MD,2017,5062440
ME,2017,1186380
MI,2017,8452040
MN,2017,4523120
