state,year,per_capita_student_debt
VT,2014,4850
WA,2014,3710
WI,2014,4230
WV,2014,3780
WY,2014,3290
AK,2015,3610
AL,2015,4180
AR,2015,3830
AZ,2015,4470
CA,2015,4010
CO,2015,5300
CT,2015,5060
DC,2015,11780
DE,2015,4880
FL,2015,4220
GA,2015,5870
HI,2015,3150
IA,2015,4900
ID,2015,4560
IL,2015,5100
IN,2015,4700
KS,2015,4950
KY,2015,4170
LA,2015,4500
MA,2015,5630
MD,2015,5670
ME,2015,4760
MI,2015,4940
MN,2015,5730
MO,2015,4760
MS,2015,4880
MT,2015,4080
NC,2015,4280
ND,2015,5040
NE,2015,4710
NH,2015,5260
NJ,2015,5200
NM,2015,3620
NV,2015,3430
NY,2015,5330
OH,2015,5510
OK,2015,3940
OR,2015,4980
PA,2015,5350
PR,2015,2320
RI,2015,4780
SC,2015,4870
SD,2015,4710
TN,2015,4190
TX,2015,4180
UT,2015,3870
VA,2015,4850
VT,2015,5130
WA,2015,3860
WI,2015,4370
WV,2015,3800
WY,2015,3290
AK,2016,3660
AL,2016,4390
AR,2016,4100
AZ,2016,4690
CA,2016,4190
CO,2016,5630
CT,2016,5470
DC,2016,12200
DE,2016,5290
FL,2016,4480
GA,2016,6340
HI,2016,3240
IA,2016,5120
ID,2016,4690
IL,2016,5400
IN,2016,4900
KS,2016,5160
KY,2016,4390
LA,2016,4810
MA,2016,5830
MD,2016,6010
ME,2016,5050
MI,2016,5280
MN,2016,5980
MO,2016,5000
MS,2016,5210
MT,2016,4000
NC,2016,4650
ND,2016,4910
NE,2016,4850
NH,2016,5580
NJ,2016,5530
NM,2016,3760
NV,2016,3620
NY,2016,5550
OH,2016,5780
OK,2016,4100
OR,2016,5260
PA,2016,5660
PR,2016,2620
RI,2016,4940
SC,2016,5240
SD,2016,4890
TN,2016,4520
TX,2016,4460
UT,2016,4100
VA,2016,5230
VT,2016,5250
WA,2016,4030
WI,2016,4580
WV,2016,3920
WY,2016,3300
AK,2017,3740
AL,2017,4610
AR,2017,4170
AZ,2017,4890
CA,2017,4330
CO,2017,5840
CT,2017,5660
DC,2017,12380
DE,2017,5590
FL,2017,4690
GA,2017,6750
HI,2017,3530
IA,2017,5150
ID,2017,4720
IL,2017,5590
IN,2017,5060
KS,2017,5300
KY,2017,4640
LA,2017,5020
MA,2017,5980
MD,2017,6260
ME,2017,5270
MI,2017,5490
MN,2017,6100
MO,2017,5140
MS,2017,5510
MT,2017,4360
NC,2017,4950
ND,2017,5240
NE,2017,5000
NH,2017,5900
NJ,2017,5720
NM,2017,3810
NV,2017,3790
NY,2017,5810
OH,2017,5980
OK,2017,4300
OR,2017,5430
PA,2017,5910
PR,2017,NA
RI,2017,4910
SC,2017,5500
SD,2017,5020
TN,2017,4760
TX,2017,4700
UT,2017,4230
VA,2017,5550
VT,2017,5620
WA,2017,4110
WI,2017,4750
WV,2017,4070
WY,2017,3270
AK,2018,4030
AL,2018,4920
AR,2018,4330
AZ,2018,5170
CA,2018,4530
CO,2018,6180
CT,2018,5890
DC,2018,13320
DE,2018,6040
FL,2018,4940
GA,2018,7250
HI,2018,3780
IA,2018,5300
ID,2018,5050
IL,2018,5800
IN,2018,5300
KS,2018,5480
KY,2018,4870
LA,2018,5360
MA,2018,6140
MD,2018,6740
ME,2018,5340
MI,2018,5800
